priref,lref,sitter_id,sitter_zekerheid,sitter_beschrijving,sitter_status,date_datering,zoekmarge_begindatum,zoekmarge_einddatum,title_english,title_dutch,objectcat,genre,materiaal,drager,trefwoorden_en,identificatie_grond,artist_name,artist_id,soort,is_color,width,height,megapixels,path,face_crop_count,sitter_portrait_count
138889,9318670,107376,,,huidig,1929 gedateerd,1929,1929,Portrait of Queen Juliana (1904-2004) as crown princess,Portret van koningin Juliana (1909-2004) als kroonprinses,sculpture,undetermined,bronze,,"woman's portrait|princess|young woman|bust (general, figure)",,"Poschacher, Maria Louise",335869,black-and-white reproduction,False,328,500,0.164,D:\thesis\images\9318670.jpg,1,87
138893,9291226,109860,,,huidig,1660,1660,1660,"Portrait of Charles II Stuart (1630-1685), King of England","Portret van Charles II Stuart (1630-1685), koning van Engeland",painting,portrait,oil paint,canvas,man's portrait|ceremonial portrait|full-length portrait|head to the right|body facing right|standing (position)|facing front|hand on side|long wig|jabot|ermine (fur)|mantle (outerwear)|Order of the Garter|crown (headdress)|orb|column as background|background view of landscape,,"Luttichuys, Isaack",51429,black and white photograph,False,1544,2357,3.639,D:\thesis\images\9291226.jpg,1,8
138894,10740664,103327,,Vicomte de TurenneGeneraal onder koning Louis XIX,huidig,,1650,1674,Portrait of Henri de la Tour d'Auvergne (1611-1675),Portret van Henri de la Tour d'Auvergne (1611-1675),painting,undetermined,oil paint,canvas,military personnel|attribute (symbol)|three-quarter length figure|head to the right|body facing right|standing (position)|facing front|man's portrait,,Anoniem,1984,photograph,False,1551,2063,3.2,D:\thesis\images\10740664.jpg,1,4
138900,10740669,105173,,,huidig,,1550,1574,Portrait of Kenau Simonsdr. Hasselaer (1526-1589),Portret van Kenau Simonsdr. Hasselaer (1526-1589),painting,undetermined,oil paint,panel (wood),attribute (symbol)|inscription|three-quarter length figure|head to the left|body facing left|standing (position)|facing front|woman's portrait,opschrift,Anoniem,1984,photograph,False,1424,1828,2.603,D:\thesis\images\10740669.jpg,1,18
138907,10740675,107446,,,huidig,,1575,1599,Portrait of Willem I 'de Zwijger' van Oranje- Nassau (1533-1584),Portret van Willem I 'de Zwijger' van Oranje- Nassau (1533-1584),painting,undetermined,oil paint,panel (wood),attribute (symbol)|inscription|bust-length portrait|head to the right|body facing right|facing front|man's portrait,opschrift,Anoniem,1984,photograph,False,1768,2298,4.063,D:\thesis\images\10740675.jpg,1,129
138908,10740676,108379,,beeldhouwer,huidig,1656 gedateerd,1656,1656,Portrait of Artus Quellinus (1609-1668),Portret van Artus Quellinus (1609-1668),sculpture,undetermined,marble,,bust-length portrait|head to the left|man's portrait,,"Verhulst, Rombout",80391,reproduction (derivative object),False,1365,1530,2.088,D:\thesis\images\10740676.jpg,1,5
138909,10740677,113781,,,huidig,ca. 1890,1890,1890,Portrait of Abraham van Stolk (1814-1896),Portret van Abraham van Stolk (1814-1896),painting,undetermined,oil paint,unknown,knee-length portrait|head frontal|body frontal|sitting|facing front|old man|man's portrait,,"Hoeven, Sara van der",88841,reproduction (derivative object),False,399,501,0.2,D:\thesis\images\10740677.jpg,1,2
138910,10740678,111051,,,huidig,,1625,1649,Portrait of Elisabeth van de Palts (1618-1680),Portret van Elisabeth van de Palts (1618-1680),painting,undetermined,oil paint,canvas,attribute (symbol)|half-length|head to the left|body facing left|facing front|children's portrait,omgeving,Anoniem,1984,reproduction (derivative object),False,956,1211,1.158,D:\thesis\images\10740678.jpg,1,11
138911,10740679,111062,,,huidig,,1625,1649,Portrait of Karl Ludwig van de Palts (1617-1680),Portret van Karl Ludwig van de Palts (1617-1680),painting,undetermined,oil paint,canvas,half-length|head to the left|body frontal|facing front|children's portrait,omgeving,Anoniem,1984,reproduction (derivative object),False,732,932,0.682,D:\thesis\images\10740679.jpg,1,9
138912,10740680,111066,,,huidig,,1625,1649,Portrait of Rupert van de Palts (1619-1682),Portret van Rupert van de Palts (1619-1682),painting,undetermined,oil paint,canvas,half-length|head to the right|body frontal|facing front|children's portrait,omgeving,Anoniem,1984,reproduction (derivative object),False,928,1143,1.061,D:\thesis\images\10740680.jpg,1,6
138958,10664705,114636,,,huidig,1675 gedateerd,1675,1675,Portrait of Friedrich Wilhelm van Brandenburg (1620-1688),Portret van Friedrich Wilhelm van Brandenburg (1620-1688),painting,undetermined,oil paint,unknown,man's portrait|ceremonial portrait|prince-elector|full-length portrait|head to the right|body facing right|standing (position)|facing front|hand on side|armor|mantle (outerwear)|ermine (fur)|baton (symbol or weapon)|crown (headdress)|background view of landscape,,"Quinkhard, Julius (I)",415331,black-and-white photocopy,False,312,500,0.156,D:\thesis\images\10664705.jpg,1,30
138962,10740700,105839,,,huidig,,1625,1649,Portrait of Elisabeth Jordaens (1617-1678),Portret van Elisabeth Jordaens (1617-1678),painting,undetermined,oil paint,canvas,half-length|head to the right|body facing right|facing front|young woman|woman's portrait,,"Jordaens, Jacques",42880,reproduction (derivative object),False,1638,2190,3.587,D:\thesis\images\10740700.jpg,1,3
138963,10700344,102228,,,huidig,1923 gedateerd,1923,1923,Portrait of Hendricus Petrus Bremmer (1871-1956),Portret van Hendricus Petrus Bremmer (1871-1956),drawing (visual work),undetermined,chalk (writing equipment),paper,man's portrait|bust-length portrait|head to the right|body facing right|looking away,,"Moulijn, Simon",58027,black-and-white reproduction,False,1513,1818,2.751,D:\thesis\images\10700344.jpg,1,7
138979,10631884,111067,,,huidig,ca. 1649,1645,1655,Portrait of Sophia van de Palts (1630-1714),Portret van Sophia van de Palts (1630-1714),painting,undetermined,oil paint,canvas,woman's portrait|young woman|allegory (visual work)|three-quarter length figure|head to the left|body facing left|standing (position)|facing front|feather headdress|mantle (outerwear)|spear|tropical landscape (visual work)|palm tree,,Louise Hollandine van de Palts,39177,reproduction (derivative object),False,2167,2715,5.883,D:\thesis\images\10631884.jpg,1,9
139001,10740719,105925,,,huidig,,1975,1999,Portrait of Franciscus Gerardus Petrus Kellendonk (1951-1990),Portret van Franciscus Gerardus Petrus Kellendonk (1951-1990),unknown,undetermined,,,three-quarter length figure|head frontal|body frontal|sitting|facing front|man's portrait,,"Knopper, Kees",45121,reproduction (derivative object),False,356,500,0.178,D:\thesis\images\10740719.jpg,1,3
139006,9296163,115117,,,huidig,1930 gedateerd,1930,1930,Portrait of the architect Jan Wils (1891-1972),Portret van de architect Jan Wils (1891-1972),painting,undetermined,oil paint,canvas,man's portrait|bust-length portrait|head to the left|body facing left|looking away|dark hair|short hair (men's hairstyle)|neckcloth|jacket with waistcoat,,"Israels, Isaac",41175,digital image,True,459,500,0.23,D:\thesis\images\9296163.jpg,1,2
139029,10740729,111799,,,huidig,,1875,1899,Portrait of Nicolaas van der Waay (1855-1936),Portret van Nicolaas van der Waay (1855-1936),painting,undetermined,oil paint,canvas,self-portrait|bust-length portrait|head frontal|body facing right|facing front|man's portrait,herkomst,"Waay, Nicolaas van der",82342,photograph,False,1537,2046,3.145,D:\thesis\images\10740729.jpg,1,3
139030,10740730,109700,,,huidig,,1900,1924,Portrait of Willem Steelink (1856-1928),Portret van Willem Steelink (1856-1928),painting,undetermined,oil paint,canvas,self-portrait|bust-length portrait|head to the right|body facing right|facing front|man's portrait,,"Steelink, Willem (jr.)",74796,photograph,False,1856,2212,4.105,D:\thesis\images\10740730.jpg,1,2
139034,10636004,104385,,,huidig,1563 gedateerd,1563,1563,Portrait of Desiderius Erasmus (1466-1536),Portret van Desiderius Erasmus (1466-1536),drawing (visual work),undetermined,,,man's portrait|full-length portrait|head to the left|body frontal|standing (position),,Anoniem,1984,digital image,True,319,500,0.16,D:\thesis\images\10636004.jpg,1,54
139041,10390115,115037,,,huidig,,1900,1924,Portrait of Mattheus Johannes Marie Wiegman (1886-1971),Portret van Mattheus Johannes Marie Wiegman (1886-1971),unknown,undetermined,,,self-portrait|bust-length portrait|head to the left|body facing right|looking away|man's portrait,,"Wiegman, Matthieu",84180,unknown,False,381,500,0.191,D:\thesis\images\10390115.jpg,1,3
139053,10654208,107152,,,huidig,1908-1909,1908,1909,"Self-portrait, face and background","Self-portrait, face and background",drawing (visual work),figure,charcoal|black chalk,paper,self-portrait|head (representation)|head frontal|facing front|man's portrait|beard,,"Mondriaan, Piet",56854,digital image,True,600,900,0.54,D:\thesis\images\10654208.jpg,1,11
139055,10669575,107152,,,huidig,1918 gedateerd,1918,1918,Self-portrait,Self-portrait,painting,undetermined,oil paint,canvas,man's portrait|self-portrait|bust-length portrait|head to the left|body facing left|facing front|suit (main garment)|bow tie,,"Mondriaan, Piet",56854,digital image,True,600,726,0.436,D:\thesis\images\10669575.jpg,1,11
139075,10669573,107152,,,huidig,1912 gedateerd,1912,1912,Self-portrait,Self-portrait,drawing (visual work),undetermined,charcoal,paper,man's portrait|self-portrait|bust-length portrait|head to the left|body sideways to the left (profile)|facing front|suit (main garment),,"Mondriaan, Piet",56854,digital image,True,600,759,0.455,D:\thesis\images\10669573.jpg,1,11
139076,10740739,108944,,,huidig,1940 gedateerd,1940,1940,Portrait of Charlotte Salomon (1917-1943),Portret van Charlotte Salomon (1917-1943),drawing (visual work),figure,gouache (paint),cardboard,self-portrait|head (representation)|head to the right|body sideways to the right (profile)|facing front|young woman|woman's portrait,,"Salomon, Charlotte",69426,reproduction (derivative object),False,460,500,0.23,D:\thesis\images\10740739.jpg,1,2
139089,10740749,103350,,kunstschilder,huidig,,1925,1949,Portrait of Jacoba Gijsberta de Lange (1897-1974),Portret van Jacoba Gijsberta de Lange (1897-1974),painting,undetermined,oil paint,canvas,bust-length portrait|head to the left|body frontal|woman's portrait,omgeving,"Dijkstra, Johan",23089,photograph,False,354,500,0.177,D:\thesis\images\10740749.jpg,1,2
139104,10698639,110204,,,huidig,,1875,1931,Self portrait of Willem Bastiaan Tholen (1860-1931),Zelfportret van Willem Bastiaan Tholen (1860-1931),painting,undetermined,oil paint,panel (wood),self-portrait|man's portrait|head (representation)|head to the right|facing front,,"Tholen, Willem Bastiaan",77150,digital image,True,391,500,0.196,D:\thesis\images\10698639.jpg,1,6
139118,10664475,124,,,huidig,,1638,1677,Self-portrait of Wallerant Vaillant (1623-1677),Zelfportret van Wallerant Vaillant (1623-1677),unknown,undetermined,,,self-portrait|man's portrait|head to the left|body facing left|half-length|looking around|facing front|helmet|gorget (armor),,"Vaillant, Wallerant",78962,digital image,True,449,500,0.225,D:\thesis\images\10664475.jpg,1,7
139121,10740759,13389,,,huidig,1991 gedateerd,1991,1991,Portrait of Dirk Simon Stapel (1942- ),Portret van Dirk Simon Stapel (1942- ),painting,undetermined,oil paint,canvas,self-portrait|full-length portrait|head to the right|body facing right|standing (position)|facing front|man's portrait,,"Stapel, Dick",74696,reproduction (derivative object),False,374,500,0.187,D:\thesis\images\10740759.jpg,1,2
139131,10740769,104667,,"gemeenteraad Leiden (1950-'53); burgemeester Warffum (1953-'57); Ministerie van Binnenlandse Zaken, hoofd Algemene Zaken publiekrechtelijke bedrijfsorganisatie (1957-1959); gemeenteraad Den Haag (1958-'61); lid Tweede Kamer (1959-'71); burgemeester Wassenaar (1961-'71); fractievoorzitter VVD (1963-'66); vice-fractievoorzitter VVD (1966-'69); fractievoorzitter, fractieleider en lijsttrekker  VVD (1969-'71); minister van Binnenlandse Zaken en vice-premier kabinet-Biesheuvel I en II (1971-1973), tevens coordinator aangelegenheden van Suriname en de Nederlandse Antillen; lid Tweede Kamer (1973); Commissaris van de Koningin (Gelderland) (1973-1983); zetel Eerste Kamer der Staten-Generaal (1983-1987)",huidig,1983 gedateerd,1983,1983,Portrait of Willem Jacob Geertsema (1918-1991),Portret van Willem Jacob Geertsema (1918-1991),painting,undetermined,oil paint,canvas,knightly insignia|knee-length portrait|head frontal|body facing left|sitting|facing front|old man|man's portrait,,"Stapel, Dick",74696,photograph,False,500,462,0.231,D:\thesis\images\10740769.jpg,1,2
139133,10740771,113941,,,huidig,1973 gedateerd,1973,1973,Portrait of Henk van Ulsen (1927-2009) as Propritsjin,Portret van Henk van Ulsen (1927-2009) als Propritsjin,painting,undetermined,oil paint,canvas,knee-length portrait|head frontal|body facing left|standing (position)|facing front|man's portrait|performance (creative event),opdracht,"Stapel, Dick",74696,photograph,False,302,300,0.091,D:\thesis\images\10740771.jpg,1,5
139153,10740786,101362,,kunstschilder,huidig,1983 gedateerd,1983,1983,Portrait of Gustaaf Hein Andrea (1942- ),Portret van Gustaaf Hein Andrea (1942- ),painting,undetermined,oil paint,canvas,full-length portrait|head to the left|body facing left|standing (position)|man's portrait,,"Stapel, Dick",74696,photograph,False,245,501,0.123,D:\thesis\images\10740786.jpg,1,3
139155,10390197,104996,,,huidig,1942 gedateerd,1942,1942,Portrait of Elly Tilly Haaksma,Portret van Elly Tilly Haaksma,painting,undetermined,oil paint,unknown,three-quarter length figure|head to the left|body facing left|standing (position)|facing front|woman's portrait,,"Swagemakers, Theo",76164,unknown,False,395,500,0.198,D:\thesis\images\10390197.jpg,1,2
139174,10740797,104990,,,huidig,,1625,1649,Portrait of Francois Gijsels (1600-1660),Portret van Francois Gijsels (1600-1660),drawing (visual work),undetermined,pen (technique)|artists' brush,parchment (animal material),in an oval|attribute (symbol)|half-length|head to the right|body facing right|facing front|man's portrait,,"Bailly, David",3626,BD/RKD/1818 - IB/XVIIB,False,1689,1985,3.353,D:\thesis\images\10740797.jpg,1,2
139200,10390240,103350,,kunstschilder,huidig,1938 gedateerd,1938,1938,Portrait of Jacoba Gijsberta de Lange (1897-1974),Portret van Jacoba Gijsberta de Lange (1897-1974),drawing (visual work),undetermined,pen (technique),paper,woman's portrait|self-portrait|head (representation)|head to the right|facing front,,"Haersolte-de Lange, Jacoba G. van",35152,unknown,False,494,500,0.247,D:\thesis\images\10390240.jpg,1,2
139201,10390017,107804,,DiplomaatHeer van Breukelen en NijenrodeConsul-generaal van Oostenrijk te Amsterdam,huidig,1918 gedateerd,1918,1918,Portrait of Michiel Onnes (1878-1972),Portret van Michiel Onnes (1878-1972),painting,undetermined,oil paint,canvas,knee-length portrait|head to the left|body facing left|sitting|facing front|man's portrait,omgeving,"Liebermann, Max",49931,unknown,False,401,500,0.201,D:\thesis\images\10390017.jpg,1,2
139202,10740813,101902,,,huidig,1930 gedateerd,1930,1930,Portrait of Gijsbert Blokhuis (1725-1799),Portret van Gijsbert Blokhuis (1725-1799),painting,undetermined,oil paint,canvas,attribute (symbol)|knee-length portrait|head to the left|body facing left|sitting|facing front|man's portrait,,"Lehmann, Anna",49117,photograph,False,500,404,0.202,D:\thesis\images\10740813.jpg,1,3
139203,10740814,101902,,,huidig,,1775,1799,Portrait of Gijsbert Blokhuis (1725-1799),Portret van Gijsbert Blokhuis (1725-1799),unknown,undetermined,,,attribute (symbol)|knee-length portrait|head to the left|body facing left|sitting|facing front|man's portrait,omgeving,Anoniem,1984,photograph,False,1818,2313,4.205,D:\thesis\images\10740814.jpg,1,3
139206,10740815,101422,,,huidig,,1900,1924,Portrait of Pieter Florentius Nicolaas Jacobus Arntzenius (1864-1925),Portret van Pieter Florentius Nicolaas Jacobus Arntzenius (1864-1925),painting,undetermined,oil paint,canvas,self-portrait|bust-length portrait|head to the right|body facing right|facing front|man's portrait,omgeving,"Arntzenius, Floris",2566,reproduction (derivative object),False,424,500,0.212,D:\thesis\images\10740815.jpg,1,4
139209,10740816,103728,,,huidig,1849 gedateerd,1849,1849,Portrait of de Vries,Portret van de Vries,painting,undetermined,oil paint,panel (wood),bust-length portrait|head frontal|body facing left|facing front|man's portrait,omgeving,"Koningh, Leonard de",45641,photograph,False,1248,1480,1.847,D:\thesis\images\10740816.jpg,1,2
139224,10666113,105077,,,huidig,1895 gedateerd,1895,1895,Portrait of Annie Josephine Hall (1860-1929),Portret van Annie Josephine Hall (1860-1929),drawing (visual work),undetermined,chalk (writing equipment)|watercolor (paint),paper,woman's portrait|bust-length portrait|head frontal|body frontal|looking away|looking down|hands folded|hair put up|puffed sleeves|interior as background,opschrift,"Toorop, Jan",77873,digital image,True,1920,1395,2.678,D:\thesis\images\10666113.jpg,1,4
139237,10390183,104332,,dichter; kunstcriticus,huidig,1935 gedateerd,1935,1935,Portrait of Johannes Aloysius Anthonius Engelman (1900-1972),Portret van Johannes Aloysius Anthonius Engelman (1900-1972),drawing (visual work),figure,charcoal,,head (representation)|head to the right|man's portrait,,"Van Uytvanck, Valentijn Edgar",79327,unknown,False,348,500,0.174,D:\thesis\images\10390183.jpg,1,4
139238,10390294,107652,,,huidig,1935 gedateerd,1935,1935,Portrait of Martinus Nijhoff (1894-1953),Portret van Martinus Nijhoff (1894-1953),drawing (visual work),undetermined,charcoal,,half-length|head to the right|body frontal|sitting|man's portrait,,"Van Uytvanck, Valentijn Edgar",79327,unknown,False,368,500,0.184,D:\thesis\images\10390294.jpg,1,2
139240,10390362,114504,,,huidig,1935 gedateerd,1935,1935,Portrait of Simon Vestdijk (1898-1971),Portret van Simon Vestdijk (1898-1971),drawing (visual work),undetermined,charcoal,,three-quarter length figure|head to the right|body frontal|sitting|man's portrait,,"Van Uytvanck, Valentijn Edgar",79327,unknown,False,345,500,0.172,D:\thesis\images\10390362.jpg,1,3
139242,10390216,105708,,,huidig,1928 gedateerd,1928,1928,Portrait of Raoul Hynckes (1893-1973),Portret van Raoul Hynckes (1893-1973),drawing (visual work),undetermined,charcoal,paper,artists' portrait|full-length portrait|head to the left|body facing left|sitting|looking away|man's portrait,,"Van Uytvanck, Valentijn Edgar",79327,unknown,False,328,501,0.164,D:\thesis\images\10390216.jpg,1,2
139256,9332375,104440,,,huidig,,1800,1824,Portrait of Jacob Fagel (1766-1835),Portret van Jacob Fagel (1766-1835),portrait miniature,undetermined,,,bust-length portrait|head to the left|body facing left|facing front|man's portrait,,Pasquier (II),372499,color reproduction,True,500,499,0.249,D:\thesis\images\9332375.jpg,1,2
139262,10740824,111051,,,huidig,ca. 1629-1630,1629,1630,Portrait of Elisabeth van de Palts (1618-1680),Portret van Elisabeth van de Palts (1618-1680),painting,portrait,oil paint,canvas,girl's portrait|princess|shepherdess|bust-length portrait|head to the right|body facing right|looking away|flower in the hand|straw hat (sun hat)|shawl|shepherd's crook|pearl necklace|rose,,"Honthorst, Gerard van",39445,black and white photograph,False,1772,2045,3.624,D:\thesis\images\10740824.jpg,1,11
139284,10637128,113698,,,huidig,,1550,1574,Portrait of Cornelis van Slingelandt (1507-1583),Portret van Cornelis van Slingelandt (1507-1583),drawing (visual work),undetermined,pen (technique)|artists' brush,,inscription|coat of arms (upper right)|half-length|head to the right|body facing right|facing front|man's portrait,opschrift; wapen,"Schouman, Aert",71074,digital image,True,375,500,0.188,D:\thesis\images\10637128.jpg,1,5
139285,10388894,102276,,,huidig,,1550,1574,Portrait of Catalina Brouwer ( -1568),Portret van Catalina Brouwer ( -1568),drawing (visual work),undetermined,pen (technique)|artists' brush,,inscription|coat of arms (upper left)|three-quarter length figure|head to the left|body frontal|standing (position)|facing front|woman's portrait,opschrift; wapen,"Schouman, Aert",71074,unknown,False,387,500,0.194,D:\thesis\images\10388894.jpg,1,2
139323,10740852,5,,,huidig,1993 gedateerd,1993,1993,Self portrait of Sierk Schröder (1903-2002),Zelfportret van Sierk Schröder (1903-2002),drawing (visual work),undetermined,,,man's portrait|self-portrait|bust-length portrait|head to the right|body facing right|facing front|sheet (paper artefact),,"Schröder, Sierk",187205,reproduction (derivative object),False,353,500,0.176,D:\thesis\images\10740852.jpg,1,12
139324,10676793,108176,,"fabrikant eindhovenpres. Philips' gloeilampen fabriek, Eindhoven",huidig,,1925,1949,Portrait of Anton Frederik Philips (1874-1951),Portret van Anton Frederik Philips (1874-1951),sculpture,undetermined,,,half-length|head to the left|body frontal|man's portrait,omgeving,Anoniem,1984,black and white photograph,False,353,500,0.176,D:\thesis\images\10676793.jpg,1,2
139325,10740853,103169,,kunstschilder,huidig,1944 gedateerd,1944,1944,Portrait of Germ de Jong (1886-1967),Portret van Germ de Jong (1886-1967),painting,undetermined,oil paint,canvas,"man's portrait|artists' portrait|bust (general, figure)|head to the left|body facing left|facing front|necktie|suit coat",,"Hem, Piet van der",37323,black and white photograph,False,377,500,0.189,D:\thesis\images\10740853.jpg,1,5
139334,9291268,107346,,"stadhouder, prins van Oranje",huidig,,1625,1799,Portrait of Frederik Hendrik van Oranje- Nassau (1584-1647),Portret van Frederik Hendrik van Oranje- Nassau (1584-1647),tile tableau,undetermined,,ceramic (material),in an oval|knightly insignia|bust-length portrait|head to the right|body facing right|facing front|man's portrait,,Anoniem,1984,black-and-white reproduction,False,1080,1411,1.524,D:\thesis\images\9291268.jpg,1,144
139337,10636005,110860,,,huidig,,1500,1599,Portrait of Joost van Bronckhorst (....-....),Portret van Joost van Bronckhorst (....-....),painting,undetermined,oil paint,panel (wood),man's portrait|young man|half-length|head to the right|body facing right|facing front|hands folded|beret|vest / shirt|mantle (outerwear)|fur collar|mountain landscape as background|sky|cloud,,"Mostaert, Jan",57985,digital image,True,1175,1789,2.102,D:\thesis\images\10636005.jpg,1,2
139348,10418088,111021,mogelijk,,huidig,jaren 1650,1650,1660,Portrait of a man,Portret van een man,painting,undetermined,oil paint,canvas,portrait|man's portrait|artists' portrait|young man|three-quarter length figure|head to the left|body facing left|sitting|facing front|long hair (men's hairstyle)|moustache|hat|flat collar|mantle (outerwear)|sheet (paper artefact)|crayon (drawing material),,Rembrandt,66219,digital file,True,6495,7272,47.232,D:\thesis\images\10418088.jpg,1,2
139372,10389631,104610,,,huidig,1781 gedateerd,1781,1781,Portrait of Isaac Henri Gallandat (1761-1823),Portret van Isaac Henri Gallandat (1761-1823),drawing (visual work),undetermined,pastel,unknown,attribute (symbol)|interior as background|curtain/drapery background|full-length portrait|head to the right|body facing left|sitting|facing front|man's portrait,kunstenaar,"Jelgerhuis, Rienk",42148,unknown,False,1318,1663,2.192,D:\thesis\images\10389631.jpg,1,2
139373,10740867,102168,,actrice,huidig,ca.1887,1886,1887,Portrait of Theodora Antonia Louisa Cornelia Bouwmeester (1850-1939),Portret van Theodora Antonia Louisa Cornelia Bouwmeester (1850-1939),drawing (visual work),undetermined,charcoal,paper,inscription|full-length portrait|head to the right|body facing right|standing (position)|facing front|woman's portrait,herkomst; opschrift,"Breitner, George Hendrik",12318,photograph,False,1752,2616,4.583,D:\thesis\images\10740867.jpg,1,15
139376,10390241,103370,,,huidig,,1925,1949,Portrait of Amy Geertruida de Leeuw (1843-1938),Portret van Amy Geertruida de Leeuw (1843-1938),painting,undetermined,oil paint,unknown,bust-length portrait|head frontal|body facing right|facing front|old woman|woman's portrait,,"Legner, Johan Coenraad Ulrich",49086,unknown,False,332,501,0.166,D:\thesis\images\10390241.jpg,1,2
139378,10390228,10032,,,huidig,1936 gedateerd,1936,1936,Portrait of Pieter Frans Christiaan Koch (1901-1991),Portret van Pieter Frans Christiaan Koch (1901-1991),unknown,figure,,,self-portrait|head (representation)|head to the right|man's portrait,,"Koch, Pyke",45220,unknown,False,343,500,0.172,D:\thesis\images\10390228.jpg,1,3
139379,10675536,10032,,,huidig,1935 gedateerd,1935,1935,Portrait of Pieter Frans Christiaan Koch (1901-1991),Portret van Pieter Frans Christiaan Koch (1901-1991),painting,figure,oil paint,canvas,self-portrait|head (representation)|head to the right|looking away|man's portrait,,"Koch, Pyke",45220,black-and-white reproduction,False,432,501,0.216,D:\thesis\images\10675536.jpg,1,3
139380,10740869,110788,,,huidig,1961 gedateerd,1961,1961,Portrait of Johanna Charlotte van Boetzelaer (1910- ),Portret van Johanna Charlotte van Boetzelaer (1910- ),painting,figure,oil paint,panel (wood),head (representation)|head to the left|looking away|woman's portrait,,"Koch, Pyke",45220,reproduction (derivative object),False,445,500,0.223,D:\thesis\images\10740869.jpg,1,4
139381,10390391,110788,,,huidig,,1950,1974,Portrait of Johanna Charlotte van Boetzelaer (1910- ),Portret van Johanna Charlotte van Boetzelaer (1910- ),painting,undetermined,oil paint,canvas,bust-length portrait|head to the left|body frontal|woman's portrait,,"Koch, Pyke",45220,unknown,False,366,500,0.183,D:\thesis\images\10390391.jpg,1,4
139383,10740871,114599,,,huidig,1940 gedateerd,1940,1940,Portrait of Jan Voerman (1857-1941),Portret van Jan Voerman (1857-1941),painting,undetermined,oil paint,canvas,three-quarter length figure|head frontal|body facing right|sitting|facing front|man's portrait|artists' portrait|beret,,"Garf, Salomon",30252,reproduction (derivative object),False,402,500,0.201,D:\thesis\images\10740871.jpg,1,4
139386,10740873,109504,mogelijk,,huidig,,1925,1949,"Portrait of a baby, possibly Elisa ('Liesje') Sluijters (1924-2010)","Portret van een baby, mogelijk Elisa ('Liesje') Sluijters (1924-2010)",drawing (visual work),undetermined,,,children's portrait|girl|half-length|head to the left|body facing left|small child,gelijkenis,"Sluijters, Jan",73135,photograph,False,369,500,0.184,D:\thesis\images\10740873.jpg,1,18
139393,10740878,106632,,Heer van ZonnemaireBelastingcontroleur; lid Provinciale Staten van Groningen.,huidig,na 1846,1846,1849,Portrait of Witius Hendrik de Savornin Lohman (1801-1848),Portret van Witius Hendrik de Savornin Lohman (1801-1848),painting,undetermined,oil paint,panel (wood),half-length|head to the right|body facing right|facing front|man's portrait,,"Van der Hulst, Jean-Baptiste",79228,reproduction (derivative object),False,359,500,0.179,D:\thesis\images\10740878.jpg,1,2
139394,10740879,104915,,,huidig,,1825,1849,Portrait of Guillaume Groen van Prinsterer (1801-1876),Portret van Guillaume Groen van Prinsterer (1801-1876),sculpture,undetermined,bronze,,bust-length portrait|man's portrait,,"Hove, Bart van",88407,reproduction (derivative object),False,283,500,0.141,D:\thesis\images\10740879.jpg,1,19
139395,10740880,106629,,,huidig,1987 gedateerd,1987,1987,Portrait of Alexander Frederik de Savornin Lohman (1837-1924),Portret van Alexander Frederik de Savornin Lohman (1837-1924),painting,undetermined,oil paint,unknown,bust-length portrait|head to the left|body facing left|facing front|posthumous portrait|man's portrait,,"Merkelbach van Enkhuizen, Clemens",55377,reproduction (derivative object),False,368,501,0.184,D:\thesis\images\10740880.jpg,1,5
139397,10390374,115031,,,huidig,1934 gedateerd,1934,1934,Portrait of Hendrik Josephus Maria Wiegersma (1891-1969),Portret van Hendrik Josephus Maria Wiegersma (1891-1969),painting,undetermined,oil paint,canvas,self-portrait|three-quarter length figure|head to the right|body facing right|looking away|man's portrait,,"Wiegersma, Hendrik",84169,unknown,False,315,500,0.158,D:\thesis\images\10390374.jpg,1,4
139418,10675237,116945,,,huidig,1926 gedateerd,1926,1926,Portrait of Jannes de Vries (1901-1986),Portret van Jannes de Vries (1901-1986),painting,undetermined,encaustic paint,canvas,man's portrait|artists' portrait|bust-length portrait|head to the left|body facing left|facing front,,"Altink, Jan",1393,color reproduction,True,398,500,0.199,D:\thesis\images\10675237.jpg,1,3
139419,10740890,104018,,,huidig,1927 gedateerd,1927,1927,Portrait of Johan Dijkstra (1896-1978),Portret van Johan Dijkstra (1896-1978),painting,undetermined,encaustic paint,canvas,staffage|artists' portrait|half-length|head to the right|body facing right|sitting|looking away|man's portrait,omgeving,"Wiegers, Jan",84167,reproduction (derivative object),False,378,500,0.189,D:\thesis\images\10740890.jpg,1,2
139436,10740905,108644,mogelijk,,huidig,1936 gedateerd,1936,1936,Portrait of mogelijk Fredrika Jacoba Bernarda Riedeman (1897- ),Portret van mogelijk Fredrika Jacoba Bernarda Riedeman (1897- ),painting,undetermined,oil paint,unknown,half-length|head to the left|body facing left|facing front|woman's portrait,,"Schram, Wout (1895-1987)",109005,photograph,False,383,500,0.192,D:\thesis\images\10740905.jpg,1,3
139442,10740911,101196,,,huidig,1993 gedateerd,1993,1993,Portrait of Maarten 't Hart (1944- ),Portret van Maarten 't Hart (1944- ),painting,undetermined,acrylic paint,canvas,animal|knee-length portrait|head frontal|body frontal|sitting|facing front|man's portrait,,"Laimböck, Lia",47458,BD/RKD/1838 - IB/XXD,False,458,500,0.229,D:\thesis\images\10740911.jpg,1,7
